Index,GPTo_antwoorden
581,"Hoi [naam],

Ik begrijp het probleem, maar er zijn in Profit/Projecten (en ook in 4PS‐Construct) een paar technische spelregels die het “achteraf koppelen” van een al geboekte/verzonden verkoopfactuur aan een termijnschema helaas onmogelijk maken:

• De koppeling tussen een termijnregel en de uiteindelijke verkoopfactuur wordt door het systeem vastgelegd op het moment dat de termijnfactuur wordt aangemaakt en geboekt.  
• Zodra een factuur wordt geboekt krijgt zij een eigen (financieel) documentnummer – op dat moment kan er geen termijn-ID meer aan worden toegevoegd.

Kortom: een bestaande, definitieve factuur kun je niet alsnog als “bron” van een termijnfactuur aanwijzen. Crediteren en opnieuw factureren vanuit het termijnschema is dus de enige 100 % zuivere weg als je een echte boekhoudkundige koppeling wilt hebben.

Er is wél een alternatief waarmee je de factuur niet hoeft te crediteren en toch de projectadministratie recht blijft:

1. Open project P241533.  
2. Ga naar het tabblad/venster Termijnen (of Termijnschema).  
3. Voeg handmatig een nieuwe termijnregel toe met:  
   – Termijnsoort of Type = ‘Extern gefactureerd’ (of ‘Handmatig’ – benaming kan per inrichting verschillen).  
   – Factuurnummer = VF24-04704 (en hetzelfde voor VF24-04725 op een tweede regel).  
   – Status of Vinkje ‘Gefactureerd’ aan.  
   – Bedrag = bedrag van de betreffende factuur.  
4. Opslaan.

Wat gebeurt er dan?  
• In de projectadministratie staat nu keurig dat de eerste (of eerste twee) termijnen al gefactureerd zijn.  
• Er wordt géén nieuwe verkoopfactuur aangemaakt, de klant krijgt niets opnieuw toegestuurd.  
• Volgende termijnen kun je daarna gewoon via ‘Factureren termijnen’ laten lopen; zij worden netjes doorgestuurd naar de reguliere verkoopfacturen.

Belangrijke aandachtspunten:

• Controleer of de omzet en W&V‐toerekening (winst-en-verlies) correct verlopen; soms wil je bij een ‘extern gefactureerde’ termijn toch een handmatige journaalpost (omzet > onderhanden werk) boeken.  
• Als jullie met Betaalplannen of automatic matching werken, noteer het factuurnummer ook handmatig in het betaalplan zodat de aflettering klopt.  
• Werk je met “percentage gereed” of voortgangsbewaking? Pas de voortgang eventueel direct aan om dubbele voortgang te voorkomen.

Samengevat:

1. Achteraf koppelen aan een termijnregel kan technisch niet.  
2. Wil je geen creditnota sturen, voeg dan in het termijnschema een “extern gefactureerde” (handmatige) termijn toe voor de reeds verstuurde facturen.  
3. Alle volgende termijnen kun je daarna op de normale manier factureren.

Mocht je toch volledig willen crediteren en opnieuw factureren, dan is dit wel de enige manier om een echte één-op-één koppeling met het termijnschema te hebben, maar in de meeste praktijksituaties is het registreren als ‘extern gefactureerd’ ruim voldoende.

Laat even weten of dit voor jullie oplossing voldoende is of als je nog hulp nodig hebt bij de instellingen!

Met vriendelijke groet,

[Je naam]  
Consultant Finance/Projecten"
582,"Zo zet je in Profit zowel de salarisverwerking (verloning) als de loonaangifte voor één werkgever definitief stop per 1-5-20xx.

1. Ga naar: 
   HRM / Payroll / Werkgever.  
   Selecteer de betreffende werkgever en kies ’Eigenschappen’.

2. Tab Loonheffing (kan ook “Aangifte loonheffingen” of “Belastingdienst” heten, afhankelijk van de versie).  
   • Veld ‘Einddatum inhoudingsplicht’ (of ‘Einde loonheffing’): vul 30-04-20xx in.  
     – Profit koppelt de inhoudings­plicht namelijk t/m deze datum; vanaf 01-05 wordt er géén loonaangifte meer opgebouwd of aangeboden.  

3. Tab Salarisverwerking (of ‘Verlonings­instellingen’).  
   • Veld ‘Laatste periode salarisverwerking’ (of ‘Einde verloning’): zet hier periode 2023-04 (of kalender­periode voorafgaand aan 1-5).  
     – Profit genereert dan vanaf periode 2023-05 geen collectieve run meer voor deze werkgever.  

4. Opslaan.  

5. Controle:
   • Start (desnoods fictief) de eerste daaropvolgende periode in de Collectieve salariskoppeling (HRM / Payroll / Collectieve salarisverwerking). De werkgever hoort daar niet meer te verschijnen.  
   • Open InSite of Profit Menu: Payroll / Aangifte loonheffingen en selecteer periode van mei of later → de werkgever staat daar niet langer tussen.  

Wat gebeurt er in Profit:
• Alle historische gegevens blijven behouden; je kunt rapportages blijven draaien.  
• Mocht je op een later moment weer moeten verlonen of loonaangifte doen, dan verwijder je enkel de einddatum(­en) en de werkgever pakt de processen weer op vanaf de eerstvolgende open periode.  

Meer hoef je niet te doen; Profit zal geen ‘nihil’-aangiften meer samenstellen en er worden ook geen runbestanden voor salarisberekening meer klaargezet."
583,"Antwoord op vraag 1 – de einddatum van het laatste contract in een weergave tonen

Waarom zie je nu de “verkeerde” datum?
• Het standaardveld ‘Einddatum contract’ dat in de weergave “Medewerker” zit, haalt zijn waarde uit het contract dat op de peildatum actief is.  
• Als er al een verlenging in Profit staat waarvan de startdatum in de toekomst ligt, is dat contract nog niet “actief” en pakt Profit dus de einddatum van het huidige (oude) contract.

Zo laat je wél de einddatum van het meest recente contract zien:

Methode A – nieuwe weergave op recordtype Contract (aanbevolen)
1. Ga naar HRM > Inrichting > Weergaven (of open de bestaande map waar je de weergave wilt hebben).  
2. Kies ‘Nieuw’ en selecteer als recordtype ‘Contract’.  
3. Voeg de velden toe die je wilt zien (medewerkernummer, naam, start- en einddatum contract e.d.).  
4. Voeg in de selectie het veld ‘Laatste contract’ (=Ja) toe. Dit veld staat in het recordtype Contract (“Dit is het laatste contract” of “Laatste contract”).  
   • Omdat er per medewerker maar één contractregel ‘Laatste contract = Ja’ is, krijg je per medewerker precies één regel met de einddatum van de nieuwste verlenging.  
5. Sla de weergave op en koppel de rechten.

Methode B – berekend veld in de bestaande Medewerker-weergave
1. Open de bestaande weergave HRM > Medewerker > Medewerker en kies ‘Inrichten weergave’.  
2. Voeg een nieuw veld toe, type ‘Berekening’.  
3. Kies ‘Totaalfunctie’ > ‘Max’ en selecteer als bronveld ‘Einddatum contract’ uit de tabel Contract.
   • Groepeer op ‘Medewerker’ zodat Profit per medewerker de maximale (hoogste) einddatum ophaalt.  
4. Geef het veld een naam (bijv. ‘Einddatum laatste contract’) en zet het in de kolommen.  
5. Eventueel kun je het oude veld ‘Einddatum contract’ verbergen zodat alleen de nieuwe kolom zichtbaar is.

Methode C – bestaand Profit-veld (alleen in recente versies)
Vanaf Profit 20/21 is er in het recordtype Medewerker vaak al een samengesteld veld ‘Einddatum contract (laatste)’. Controleer of dat veld in jouw omgeving aanwezig is; zo ja, voeg het rechtstreeks toe aan de weergave.

Antwoord op vraag 2 – analyses op een peildatum draaien

Analyse HRM
• Analyses die op ‘actuele gegevens’ zijn gebaseerd hebben standaard één peildatum.  
• Wanneer je de analyse opent, zie je linksboven of in de werkbalk een veld ‘Peildatum’. Zet hier de gewenste datum (bijv. 31-12-2024) en druk op ‘Verversen’; de analyse rekent dan met de stand op die datum (indienst/uitdienst, FTE’s, functies enz.).  
• Wil je dat de gebruiker de datum verplicht invult, maak dan in de analyse‐inrichting een parameter van het type ‘Datum’ aan en koppel die aan ‘Peildatum’.

Rapport HRM
• In rapporten werkt het identiek: op het eerste tabblad van de rapportwizard kun je de peildatum vastleggen of als invulveld tonen.  
• Rapport HRM is vooral handig als je het resultaat wilt afdrukken of als PDF wilt bewaren; voor tellingen of draaitabellen is Analyse HRM doorgaans flexibeler.

Samengevat
1. Gebruik in een weergave het recordtype Contract met filter ‘Laatste contract = Ja’ of maak in de Medewerker-weergave een berekening ‘Max(Einddatum contract)’.  
2. Zowel Analyse HRM als Rapport HRM kun je gewoon op een willekeurige peildatum uitvoeren; vul de datum in voordat je de uitvoer ververst en je krijgt de headcount/telling op die exacte datum."
584,"Beste [naam],

Samenvatting  
Ja, het is mogelijk om op één en hetzelfde werkstation 1) in te loggen met een passkey én 2) de AFAS Pocket-app te gebruiken voor (twee-)factor­authenticatie en het inschieten van incidenten. Beide methoden kunnen naast elkaar bestaan; u kiest bij iedere inlog simpelweg welke methode u wilt gebruiken.

Hoe pakt u dit aan?

1. Controleer of AFAS Pocket nog als geldig inlogmiddel staat  
   a. Log op het betreffende werkstation in met uw huidige passkey.  
   b. Ga rechtsboven naar uw profiel (initialen/​foto) → Mijn Omgeving → Beveiliging/​Inlog­methoden.  
   c. Staat ‘AFAS Pocket’ er al bij als geverifieerde methode?  
      • Ja → klaar, zie stap 4.  
      • Nee → ga door met stap 2.

2. (Opnieuw) registreren van de AFAS Pocket-app  
   a. Klik op ‘Nieuw inlogmiddel toevoegen’ of ‘Tweestaps­verificatie instellen’.  
   b. Kies ‘AFAS Pocket’.  
   c. Start op uw telefoon de AFAS Pocket-app en kies ‘Koppelen nieuw account’.  
   d. Scan de QR-code die op uw scherm verschijnt.  
   e. Doorloop de verificatie (pincode of biometrie) op de telefoon.  
   f. De app bevestigt dat de koppeling gelukt is.

3. Eventuele oude/ongebruikte koppelingen opruimen  
   Als er nog een oude, inactieve koppeling staat (grijs of ‘Niet actief’), kunt u die verwijderen om verwarring te voorkomen.

4. Inloggen met de methode die u op dat moment wilt gebruiken  
   • Start AFAS Online.  
   • Voer uw gebruikersnaam in.  
   • U krijgt nu een keuzescherm met beide methoden:  
     – Passkey (FIDO2-sleutel, Windows Hello, enz.)  
     – AFAS Pocket (pushmelding op de telefoon)  
   • Klik op de gewenste methode en rond de authenticatie af.  

Veelgestelde vragen

• Kunnen we met z’n tweeën op hetzelfde werkstation Elk onze eigen methode gebruiken?  
  Ja. Iedere gebruiker registreert z’n eigen passkey, AFAS Pocket, sms-code of authenticator. Zodra je je eigen gebruikersnaam invoert krijg je alléén de middelen die aan jouw account gekoppeld zijn.

• Heeft het gebruik van AFAS Pocket invloed op de passkey-inlog?  
  Nee. Beide methoden zijn onafhankelijk van elkaar. Het toevoegen of verwijderen van Pocket heeft geen effect op reeds geregistreerde passkeys.

• We krijgen geen pushmelding in de Pocket-app. Wat nu?  
  1. Controleer of de app nog gekoppeld is (stap 1).  
  2. Zet mobiele data/​wifi kort uit-aan of herstart de telefoon.  
  3. Controleer of er een focus/​niet-storen-modus actief is die meldingen blokkeert.  
  4. Lukt het nog steeds niet, reset dan de Pocket-koppeling en voeg deze opnieuw toe (stap 2).

Mocht u tijdens het instellen ergens op vastlopen, laat dan even weten op welk punt (scherm of foutmelding) het misgaat, dan help ik u verder.

Met vriendelijke groet,

[Uw naam]  
AFAS Support"
585,"Beste …,

Onderstaand vind je de meest voorkomende oorzaken én stappen om ze direct zelf (of wij op afstand) te verhelpen.  In 95 % van de gevallen komt het verdwijnen of grijs worden van de knoppen ‘Vastleggen’ in Outlook en ‘PROFIT DOCUMENT’ in Word doordat de Profit-Office-add-ins niet of niet juist geladen worden.

────────────────────────────────────────
1. Controleer of de Profit-Office-add-ins geïnstalleerd zijn
────────────────────────────────────────
1. Sluit Outlook én Word volledig af.
2. Ga in Windows naar  
   Instellingen (Start) ➜ Apps ➜ Geïnstalleerde Apps.  
   • Staat er “AFAS Profit Office Add-ins” (of “AFAS Profit 2023 xx.xx Office integration”)?  
     – Ja ⇒ ga door naar stap 2.  
     – Nee ⇒ installeer de add-ins opnieuw:
       a. Open Profit ➜ Algemeen ➜ Help ➜ Installatiepakket downloaden  
          (of download via het cliëntportaal ‘InstallProfitAddins.exe’).  
       b. Start de setup, vink minimaal “Office Add-ins” aan en voltooi de installatie.
3. Herstart de pc zodra hierom gevraagd wordt.

────────────────────────────────────────
2. Add-ins in Outlook activeren (‘Vastleggen’)
────────────────────────────────────────
1. Open Outlook (Desktop/Classic).
2. Bestand ➜ Opties ➜ Add-ins.  
   • Onderaan: “Beheren: COM-invoegtoepassingen” ➜ Ga.  
   • Vink “AFAS Profit Outlook Add-in” (of vergelijkbare naam) aan.  
   • Staat hij in de lijst “Uitgeschakelde elementen”?  
     – Ja ⇒ selecteer, klik ‘Inschakelen’ en daarna opnieuw via COM-invoegtoepassingen aanvinken.
3. Klik OK en herstart Outlook.
4. Controleer nu:
   – ‘Vastleggen’ hoort te staan in tab “Bericht” of “AFAS / Profit”.  
   – De knop wordt automatisch actief zodra je een (nog niet vastgelegde) e-mail selecteert.  
     Als hij nog grijs is, test met een andere mail die nog niet in Profit is opgeslagen.

────────────────────────────────────────
3. Add-ins in Word activeren (‘PROFIT DOCUMENT’)
────────────────────────────────────────
1. Open Word (niet via Profit maar direct).
2. Bestand ➜ Opties ➜ Add-ins ➜ Beheren: COM-invoegtoepassingen ➜ Ga.  
   • Vink “AFAS Profit Word Add-in” (of “Profit Document”) aan.  
   • Staat hij bij ‘Uitgeschakelde elementen’? Activeer hem zoals hierboven.
3. Klik OK ➜ sluit Word ➜ open opnieuw een document via Profit.  
   – Bovenin hoort nu de tab “PROFIT DOCUMENT” zichtbaar te zijn.  
   – De knop ‘Opslaan in Profit’ wordt daarmee weer beschikbaar.

────────────────────────────────────────
4. ‘Ontwerp document’ opent niet / bestand moet eerst lokaal worden opgeslagen
────────────────────────────────────────
Dit gebeurt als de ‘Document-beheerder’ (DocDesigner) niet wordt herkend omdat de Office-add-ins ontbreken of de standaardlocatie niet schrijfbaar is.

1. Controleer stap 1 t/m 3: add-ins moeten actief zijn.
2. Open Profit ➜ Algemeen ➜ Instellingen ➜ Omgeving ➜ Pad tijdelijke bestanden.  
   • Kies een pad waar je schrijf-/leesrechten hebt, bijv.  
     C:\Users\%username%\AppData\Local\AFAS\Temp
3. Sla op, herstart Profit en probeer opnieuw ‘Beheer ➜ Document ➜ Acties ➜ Ontwerp document’.

────────────────────────────────────────
5. Nog steeds geen resultaat?
────────────────────────────────────────
• Soms blokkeert Outlook/Word een add-in als die bij het opstarten langer dan 1 sec. nodig had.  
  Ga in Outlook/Word naar Bestand ➜ Opties ➜ Add-ins ➜ Slow/Disabled Add-ins en zet hem op “Always enable”.
• Controleer of Office volledig up-to-date is (Bestand ➜ Account ➜ Bijwerkopties).
• Werk je met een 64-bits Office? Installeer dan ook de 64-bits versie van de Profit-add-ins.

Mocht het na bovenstaande stappen nog niet werken, laat het ons weten. We kunnen dan via TeamViewer of Quick Assist even meekijken, de add-ins handmatig registreren (regsvr32) of in de logs controleren waarom ze worden uitgeschakeld.

Succes, en geef gerust een seintje als we kunnen helpen!

Met vriendelijke groet,

[Naam]  
[Afdeling ICT / Servicedesk]"
586,"Goedemorgen,

Ik ben met u mee gaan kijken naar de manier waarop Business Central bepaalt of een goedkeuring-stap is afgerond. In nagenoeg alle gevallen blijkt dat één van onderstaande instellingen (per ongeluk) zo staat ingesteld dat de workflow ná de eerste goedkeuring al “klaar” denkt te zijn.

1. Instelling “Eén goedkeurder vereist” in Workflow-gebruikersgroep  
   • Ga naar Workflow gebruikersgroepen.  
   • Open de groep die in de betreffende stap wordt gebruikt.  
   • Staat het vinkje “Eén goedkeurder vereist” aan?  
     – Ja → zodra de eerste gebruiker in de groep heeft goedgekeurd is de stap voltooid.  
     – Nee → alle gebruikers in de groep moeten goedkeuren.

2. Responsregel “Maak goedkeuringsverzoek aan …”  
   • Open de workflow “Inkoopfactuur – goedkeuren”.  
   • Zoek de regel “Maak een goedkeuringsverzoek …” die bij de betwiste stap hoort.  
   • Controleer de velden:  
     – “Goedkeurdertype”  (Approver / Workflow-gebruikersgroep).  
     – “Extra goedkeuringen nodig” of “Alle goedkeuringen vereist”.  
       Als hier “Eerste reactie volstaat” of iets vergelijkbaars staat, dan wordt na de eerste goedkeuring direct doorgegaan.

3. Escalatie- of vervangingslogica  
   • Staat er voor één van de twee beoordelaars een Vervanger ingesteld?  
   • Is er een Escalatie-tijd ingesteld (bijv. 0 dagen) waardoor de aanvraag direct doorschiet?

4. Controle in Approval Entry-tabel  
   • Zoek via “Goedkeuringsvermeldingen” op documentnr. 148864150.  
   • U ziet daar precies welke regels zijn aangemaakt, voor wie, en welke status ze hebben gekregen.  
   • Klopt het dat er maar één regel is aangemaakt? Dan is er technisch ook maar één goedkeurder gevraagd; zie dan punt 1 en 2.  
   • Ziet u wél twee regels en staat één daarvan nog op “Open” maar is het document toch vrijgegeven? Dan is er iets mis in de events; laat ons dat dan even weten.

5. Verantwoordelijkheids- en autorisatielimiet  
   Tot slot: als één van de twee beoordelaars een hogere goedkeuringslimiet heeft dan de factuurbedrag, kan het systeem de tweede stap overslaan (bij gebruik van “Approver Limit”). Controleer bij beide gebruikers hun goedkeuringslimiet.

Wat kunt u nu het beste doen?
a. Controleer eerst punt 1 (gebruikersgroep). Dit is in 90 % van de gevallen de boosdoener.  
b. Pas eventueel het vinkje aan, stuur de factuur opnieuw ter goedkeuring of maak een nieuwe testfactuur.  
c. Werkt het dan nog steeds niet zoals verwacht? Stuur ons dan een export (of schermafbeeldingen) van:  
   • De workflowregel(s) rond het aanmaken van de approval request.  
   • De betrokken Workflow-gebruikersgroep.  
   • De Approval-entries van het document.

Dan kijken wij verder mee en kunnen we exact aanwijzen waarom document 148864150 al na één approval is vrijgegeven.

Met vriendelijke groet,

[Uw naam]  
Business Central Support"
587,"{  
  ""_antwoord_index"": 5,  
  ""antwoord"": ""De taal‐keuze bij een verkooprelatie kan om twee redenen ‘grijs’ worden:  \n\n1. Autorisatierechten  \n   • Je moet in je rol het recht ‘Onderhouden stamgegevens – Verkooprelatie (taal)’ of ‘CRM | Organisatie | Basisgegevens wijzigen’ hebben.  \n   • Controleer bij Beheer ➜ Autorisaties ➜ Rollen of deze rechten zijn aangevinkt voor jouw rol.  \n   • Heb je meerdere rollen? Dan telt de rol met de hoogste prioriteit; een beperkte rol kan een ruimer recht uit een andere rol overschrijven.  \n\n2. Vergrendelde stamgegevens  \n   • Als de verkooprelatie al gekoppeld is aan een financieel dagboek of als er reeds verkoop- of inkooptransacties op zijn geboekt, kan de taal (en een aantal andere velden) vergrendeld worden.  \n   • Dit is een beheersinstelling die je vindt onder Systeem ➜ Instellingen ➜ Stamgegevens vergrendelen.  \n\nControle-stappen  \n1. Open de verkooprelatie in CRM/Organisatie en klik op ‘Bewerken’.  \n2. Kijk of rechtsboven het slot-icoon ‘Stamgegevens vergrendeld’ zichtbaar is.  \n3. Ga naar Beheer ➜ Autorisaties ➜ Mijn rechten en zoek op ‘Verkooprelatie – taal’.  \n4. Kun je het veld in een test-omgeving wél wijzigen als je jezelf tijdelijk de rol ‘Applicatiebeheerder’ geeft? Zo ja, dan is het een autorisatiekwestie; zo nee, dan is het een vergrendelingsthema.  \n\nOplossing  \n• Autorisatie: laat je systeembeheerder het bovenstaande recht aan je rol toevoegen en herstart de sessie.  \n• Vergrendeling: laat een applicatiebeheerder (tijdelijk) de instelling ‘Taal wijzigen toestaan na eerste boeking’ aanvinken, wijzig de taal en zet de instelling daarna weer terug.  \n\nMocht dit het probleem niet oplossen, geef dan even door:  \n• Welke versie/build van de management tool je gebruikt.  \n• Of het probleem bij álle verkooprelaties of alleen bij specifieke relaties optreedt.  \nDan kan ik gerichter met je meekijken.""}"
588,"Beste [naam],

Onderstaande informatie helpt je om de DKIM-sleutels te verkrijgen die AFAS gebruikt voor het ondertekenen van e-mail die namens jouw domein wordt verstuurd.

1. Sleutels worden per klantomgeving gegenereerd  
   AFAS heeft geen “generieke” DKIM-sleutel die je kunt overnemen. Voor elke klantomgeving wordt een eigen (private/public) sleutelpaar gemaakt. Je moet die dus eerst in jouw Profit-omgeving aanmaken.

2. Zo genereer je de DKIM-sleutels in Profit  
   a. Log in als functioneel beheerder.  
   b. Ga naar:  
      Beheer → Algemeen → Communicatie (of E-mailinstellingen) → tabblad ‘DKIM’.  
   c. Klik op ‘Nieuwe sleutel genereren’. Profit maakt meteen twee selectors (bijv. k1 en k2) aan.  
   d. Profit toont vervolgens de twee DNS-records in de vorm van CNAME’s, bijv.:  

      k1._domainkey.domein.nl   CNAME   k1.dkim.afasonline.com.  
      k2._domainkey.domein.nl   CNAME   k2.dkim.afasonline.com.  

3. Plaats de CNAME-records in DNS  
   Laat je DNS-/hostingpartij bovenstaande records toevoegen. Alleen deze publieke sleutels hoeven gepubliceerd te worden; de private sleutel blijft in AFAS.

4. Valideer in Profit  
   Nadat de CNAME’s zijn gepropageerd (meestal binnen 30 – 60 min, soms langer) ga je terug naar het DKIM-scherm en klik je op ‘Valideren’. Zodra de validatie groen is, ondertekent AFAS alle uitgaande mail met DKIM en voldoet je DMARC-beleid.

5. Controle en monitoring  
   • Controleer via een extern hulpmiddel (b.v. mxtoolbox.com of dmarcian.com) of de selectors resolven.  
   • Houd je DMARC-rapporten in de gaten; daarin zie je of de DKIM-handtekening ook daadwerkelijk doorkomt.

Belangrijke opmerkingen

• De sleutels die AFAS voor afas.nl gebruikt, kun je niet hergebruiken voor brocacef.nl, dirextion.nl of zorgmail.nl; ieder domein heeft eigen selectors.  
• Gebruik je naast AFAS nog andere mail-platforms (bijv. Microsoft 365, marketingsoftware, etc.)? Richt daar óók DKIM in, zodat alle uitgaande stroom ondertekend is.  
• Heb je geen toegang tot het DKIM-scherm of kom je er niet uit? Stuur dan — zoals je al aangaf — een ticket naar de AFAS Servicedesk met jullie klantnummer/omgevingscode; zij kunnen de selectors voor je exporteren of de set handmatig aanmaken.

Ik hoop dat dit duidelijk maakt hoe je aan de benodigde DKIM-gegevens komt. Laat het gerust weten als er nog vragen zijn.

Met vriendelijke groet,

[uw naam]"
589,"Beste Paulien,

Voor de Mobiliteit-template verwacht Power BI (en de achterliggende connector) een aantal velden uit AFAS.  
Als één van die velden in geen enkel mobiliteitsrecord gevuld is, ontstaat in Power Query een fout (“veld niet gevuld”). Omdat de melding in Power BI vrij algemeen is, moet je even “dieper” kijken om te zien wélk veld mist.

Onderstaand stappenplan helpt je daarbij én laat zien welke velden de template minimaal verwacht.

───────────────────────────  
1. Achterhaal het exacte veld in Power Query  
───────────────────────────  
1.1  Open het PBIX-bestand → Home → Transform data.  
1.2  In het linkerdeelvenster zie je alle queries (tabellen).  
1.3  Klik steeds op een query tot er rechtsboven een rood uitroepteken (!) verschijnt; dat is de query die faalt.  
1.4  Klik op de laatste stap in de Applied Steps-lijst met een fouticoon en kies View error / Error details.  
      • In 95 % van de gevallen zie je hier letterlijk “column <veldnaam> not found” of “The field ‘<veldcode>’ is empty”.  
      • Noteer de veldnaam of veldcode (begint vaak met een ~ of is hoofdletters zoals “BEGDAT”).

2. Controleer het veld in AFAS  
───────────────────────────  
Ga in AFAS naar:  
Menu HRM → Organisatie → Medewerker → tab Mobiliteit.  
Controleer voor minimaal één medewerker of de onderstaande velden gevuld zijn:  

• BEGDAT_MBL   (Begindatum mobiliteit)  
• EINDEDAT_MBL (Einddatum mobiliteit – mag leeg zijn als nog lopend)  
• MOBIL_CD     (Soort mobiliteit / middel)  
• MOBIL_OMS    (Omschrijving / vervoersmiddel)  
• KM_WOONWERK  (Kilometers woon-werk)  
• KENTEKEN     (Kenteken ­– alleen bij auto)  

De exacte veldcodes kunnen per omgeving iets afwijken, maar komen in de template terug als:  
Begindatum, Einddatum, TypeMobiliteit, Omschrijving, Afstand, Kenteken.

3. Vul ontbrekende waarden of pas (tijdelijk) de query aan  
───────────────────────────  
A. Velden vullen  
   – Vul in AFAS bij ten minste één record de ontbrekende velden.  
   – Voer vervolgens in Power BI Refresh preview (F5) uit.  

B. Query aanpassen (alleen indien je het veld echt nooit gaat gebruiken)  
   – In de foutgevende query staat vaak een regel Table.RemoveColumns(…, {“<veld>”}).  
   – Vervang die stap door onderstaande, dan worden lege kolommen toegestaan:  
     Table.RemoveColumns( Table.ColumnsOfType(#""Vorige stap"", {type any}), {""<niet-bestaand veld>""} )  
   – Of verwijder simpelweg het veld uit de lijst die geselecteerd wordt.  

4. Herladen  
───────────────────────────  
Sluit Power Query met Close & Apply en voer nogmaals een volledige Refresh uit.  
De fout hoort nu verdwenen te zijn.

───────────────────────────  
Samenvatting van minimaal vereiste velden voor de standaard Mobiliteit-template  
───────────────────────────  
1. MedewerkerNr       (EMPLOYEE)  
2. Begindatum         (BEGDAT_MBL)  
3. Soort mobiliteit   (MOBIL_CD)  
4. Omschrijving       (MOBIL_OMS)  
5. Kenteken           (KENTEKEN) – alleen bij auto  
6. Kilometers woon-werk (KM_WOONWERK)  

Heb je (nog) geen gegevens voor bepaalde velden, vul deze voor testdoeleinden bij één medewerker zodat Power BI de kolom kan aanmaken. Daarna kun je de template verder gebruiken of finetunen.

───────────────────────────  
Kom je er niet uit?  
───────────────────────────  
Stuur ons:  
• Een screenshot van de Error details-popup in Power Query.  
• De naam van de query die de fout toont.  

Dan kijken we direct met je mee en kunnen we, indien nodig, de template voor jouw situatie aanpassen.

Succes! Groetjes,  
[Naam]  
AFAS / Power BI support"
590,"Beste [naam],

Met de informatie die je hebt gegeven is dit (vrijwel) altijd het gevolg van een wijziging in de weergaven, niet van het werkelijk verwijderen van Profit-tabbladen.  In de praktijk ontstaan de verschijnselen exact zoals jij ze beschrijft als iemand:

• een eigen weergave/-tabblad toevoegt  
• en daarbij die nieuwe weergave als ‘Standaard’ (of ‘Alle gebruikers’) opslaat,  
• zonder de bestaande Profit-bladen aan die weergave toe te voegen.

Daardoor:

• zie je in de Management tool alleen de tabbladen die in dié weergave zijn gedefinieerd;  
• InSite gebruikt dezelfde weergavecode en laat daarom eveneens alleen die tabbladen zien;  
• in een kopie van ‘Gekoppelde tabbladen’ (of een andere, niet-aangepaste weergave) staan de Profit-bladen wél gewoon.

De bladen zijn dus niet verwijderd, maar ze zitten simpelweg niet in de (nieuwe) standaardweergave.  

Oplossing stap-voor-stap
========================
1. Ga in Profit naar:  
   Algemeen  ➜  Inrichting  ➜  Weergaven onderhouden  
   (of: Rechtsklik op een kolomkop in het venster ‘Verkooprelatie’ ➜ Beheer weergaven).

2. Zoek de weergave die nu als Standaard staat (herkenbaar aan vet + *)  
   – waarschijnlijk de weergave die je 10 min geleden hebt aangemaakt.

3. Dubbelklik op die weergave en open tabblad ‘Tabbladen’.  
   • Klik op ‘Standaardbladen toevoegen’.  
   • Zet een vinkje bij elk Profit-tabblad dat je terug wilt hebben.  
   • Sla op (OK).

   OF

   Als het sneller is: selecteer de weergave ‘Gekoppelde tabbladen’ (of ‘Standaard’) en kies  
   ‘Standaard maken’.  Daarmee herstel je in één keer de oorspronkelijke situatie.

4. Sluit het venster en open opnieuw een verkooprelatie: alle Profit-bladen zijn terug.

5. InSite pakt automatisch dezelfde weergave; ververs de pagina (Ctrl+F5).  
   Verschijnt er nog niets?  Verwijder dan de InSite-cache (Beheer ➜ Systeeminstellingen ➜ Caching) of start IIS opnieuw.

Extra controles
---------------
• Autorisatie – Tabbladen kunnen ook via Autorisatietool worden weggefilterd.  Kijk eventueel in de rol/functieprofielen of daar per ongeluk tabbladautorisatie is aangepast (komt zelden voor).  
• Persoonlijke cache – Helpt het niet, wis de lokale Profit-cache (%localappdata%\AFAS Profit\Cache) en start Profit opnieuw.

Samengevat
-----------
De tabbladen zijn niet verwijderd maar onzichtbaar omdat de actuele standaardweergave ze niet bevat.  Zet de Profit-bladen weer aan of wijs opnieuw een originele weergave toe en alles staat direct weer op zijn plaats, zowel in Profit als op InSite.

Mocht het ondanks bovenstaande niet lukken, laat het even weten met:
• een schermafdruk van de huidige weergavelijst (beheer weergaven)  
• de naam van de weergave die nu standaard staat  
• de gebruikte Profit-versie (bijv. 2024.01.02).

Met vriendelijke groet,

[Uw naam]  
AFAS Support"
