Kenmerk,Onderwerp,Toelichting
ERP,XBRL is ongeldig bij indienen IB-aangifte 2024 door taxonomie regels.,"Probleembeschrijving: Ik heb een probleem ondervonden bij het indienen van een IB-aangifte vanuit AFAS in MKW Online. De aangifte verscheen niet in de portal en gaf een foutmelding. Zie bijlage ""Deze XBRL is ongeldig"" Dit probleem werd tijdelijk opgelost door een spatie toe te voegen achter een dubbele waarde, maar dit is geen structurele oplossing. De dubbele waarde betreft bedragen die gesplitst zijn door een huwelijk, wat fiscaal correct is, maar niet door de validatie komt vanwege taxonomie regels. Zie bijlage: ""Inkomen uit aanmerkelijk belang"" Pinkweb heeft aangegeven dat het aanpassen van de taxonomie niet eenvoudig is en waarschijnlijk door AFAS moet worden aangepakt. Valt dit op te lossen of is dit niet mogelijk? Aanvullende details: - Kun je precies aangeven welke foutmelding er wordt weergegeven bij het indienen van de aangifte? - XBRL is ongeldig - Over welk fiscaal jaar gaat deze aangifte? - IB aangifte 2024 - Kun je bevestigen of dit probleem speelt bij meerdere aangiften of cliënten, of slechts bij één specifieke situatie? - taxonomie aanpassing"
ERP,[Client IB | Partner | Accountancyportal] Toegang tot accountancyportal voor parteraangifte.,"Probleembeschrijving: We lopen vast en hopen dat jullie ons kunnen helpen. Het gaat om de aangiften IB 2024 van de heer B.H. Ten Haken en mevrouw M. Ten Haken - Linsen. Alleen van mevrouw hebben we een e-mailadres. We hebben voor beiden een aangifte klaargezet via het klantportaal, met de bedoeling dat beide aangiften via haar portaal worden aangeboden en door haar geaccordeerd kunnen worden, omdat we van meneer geen e-mailadres hebben. In Profit heb ik mevrouw bij meneer als bestaand contactpersoon toegevoegd onder het onderdeel ""Contacten"". Als ik echter op ‘Portal toegang’ klik en wil inloggen, krijg ik de volgende foutmelding: “Controleer in alle omgevingen (incl. ‘…’) of er een gebruiker actief is met dit e-mailadres. Ga naar help.afas.nl en zoek op de melding voor meer informatie.” Mijn vraag is: -Is het mogelijk om beide aangiften via hetzelfde portaal (van mevrouw) aan te bieden voor accordering? -Wat moet ik aanpassen om dit goed werkend te krijgen? -Bij taak staat de status nu op 'klant', dus voor ons lijkt alles weg te zijn. Had ik ergens kunnen controleren dat dit niet goed ging of dat de aangifte dus niet zichtbaar is bij mevrouw? Alvast bedankt voor jullie hulp! Aanvullende details: - Kun je precies aangeven welke stappen je hebt doorlopen om mevrouw als contactpersoon bij meneer toe te voegen? - Aangifte is al verzonden, maar alleen die van mevrouw is zichtbaar in haar portaal. Bij meneer hebben we wel mevrouw haar profiel toegevoegd in profit. maar portal toegang vinkje staat uit, want email mag niet dubbel ingevoerd worden. - Heb je gecontroleerd of het e-mailadres van mevrouw al in gebruik is in een andere omgeving? - Ja die word gebruik bij mevrouw zelf - Kun je bevestigen of de foutmelding optreedt bij het instellen van de portal toegang of bij het accorderen van de aangiften? - nvt"
HRM,Aanpassen van 5 mei als nationale feestdag in de cao instellingen.,"Probleembeschrijving: In onze cao is 5 mei geen nationale feestdag, ook niet een keer in de 5 jaar. Echter staat dit wel bij de GGI nu. Hoe kan ik dit aanpassen? Aanvullende details: - Kun je aangeven waar je precies ziet dat 5 mei als nationale feestdag staat ingesteld? - Dit staat bij de afas app op niet beschikbaar. - Kun je een screenshot of een beschrijving van de instellingen van de feestdagen in de CAO toevoegen? - j - Heb je al geprobeerd de feestdaginstellingen in de CAO aan te passen? - ja"
HRM,Foutmelding bij openen beoordeelpagina onboard (-170): The given key 'Z30' was not present in the dictionary.,"Probleembeschrijving: Foutmelding bij openen beoordeelpagina onboard (-170). Ik kan geen beoordeelpagina meer benaderen van de onboarden workflows. Ik krijg dan een foutmelding: The given key 'Z30' was not present in the dictionary. Ik heb in diverse browsers getest en in een incognito browser, maar dat levert ook geen resultaat op. Aanvullende details: - Waar loop je precies tegenaan bij het openen van de beoordeelpagina? - Ik krijg direct bij het openen een foutmelding met: Er is iets misgegaan tijdens het weergeven van deze pagina. Laad de pagina opnieuw of ga naar een andere pagina om door te gaan. - Sinds wanneer speelt deze foutmelding? - Sinds 17-04-2025 - Tot wanneer werkte het nog wel en is er sindsdien iets gewijzigd in de workflows of instellingen? - werkte voor 17-04-2025 nog wel"
ERP,Afgekeurde contracten zijn niet zichtbaar voor alle inkopers in 'Alle afgekeurde contracten in de workflow'.,"Probleembeschrijving: Hoi Dennis, Nog een vraag in het verlengde van incident 2329674 die reeds is afgesloten. Een afgekeurd contract is niet zichtbaar in de weergave 'Te beoordelen contracten' omdat deze niet meer ter beoordeling staat tot deze opnieuw word ingestuurd, begrijpelijk. Waarom wordt deze ook niet voor iedereen zichtbaar in de weergave 'Alle afgekeurde contracten in de workflow'? Als voorbeeld heb ik in de TO testomgeving contract C2025-024 afgekeurd, deze is enkel voor de instuurder en Functioneel beheer zichtbaar, maar niet voor de overige inkopers. De pagina is wel toegevoegd en geautoriseerd aan de functionaliteit 'INK: Strategisch/tactisch inkoper' waar alle inkopers inzitten. Wat mis ik? Aanvullende details: - Kun je bevestigen of de autorisatie voor de functionaliteit 'INK: Strategisch/tactisch inkoper' correct is ingesteld voor alle inkopers? - ja - Kun je aangeven of dit gedrag consistent is voor alle afgekeurde contracten of alleen voor contract C2025-024? - Dit geldt voor alle afgekeurde contracten - Kun je toelichten welke stappen je hebt doorlopen om dit te testen? - Autorisatie en voorbeeld weergave gecontroleerd op pagina, functionaliteit, pagina onderdelen, autorisatie en in de autorisatie tool."
ERP,ING bankkoppeling voor SB ondernemen,N.a.v. het gesprek over de klacht. Klant wil graag de ING koppeling gebruiken voor SB ondernemen.
ERP,Instellen verzamelmethode 'verplichting per inkooporderregel' in profiel en boekingslay-out.,"Probleembeschrijving: Hoi Dennis, We hebben de nieuwe inrichting van verplichtingen vanuit order vs confrontatie ontvangst getest en lopen tegen het volgende aan. Vanuit het inkooprelatieprofiel kunnen we de verzamelmethode verplichting per inkooporderregel of artikelgroep instellen. Kunnen we deze optie ook vanuit het profiel en/of de boekingslay-out instellen? Ik zie enkel de optie verplichting aanmaken in de context van de inkoopaanvraag en niet op regel niveau. Hierdoor wordt er één verplichtingsregel aangemaakt in AFAS, en bij de verwerking van in Scansys krijg je dan ook één regel waarop je de factuur kunt verwerken. Voorbeeld: Projectaanvraag OR25-03799 bestaat uit 2 orderregels die zijn aangemaakt via wf inkoopaanvraag project. Instelling hierbij was verplichting aanmaken in inkooprelatieprofiel uit gevinkt en in de context van het Profiel 'Aanmaken inkoopaanvraag project' aangevinkt. In AFAS is op basis hiervan direct verpl.nr 196.302 aangemaakt. Nu zien we dat AFAS er één regel van maakt en niet per orderregel. Het veld verplicht wordt niet meer gevuld met de omschrijving zoals in de aanvraag is meegegeven, waardoor we geen zicht meer hebben welke orderregel en bijbehorende verplichting nu is afgehandeld. Dit beeld wordt in Scansys doorgezet waardoor daar het zicht op wat besteld en gefactureerd wordt ook volledig is verdwenen. Hopelijk is er een mogelijkheid om de verzamelmethode 'verplichting per inkooporderregel' op het profiel in te stellen. Groetjes Franca Aanvullende details: - Kun je precies aangeven welke stappen je hebt doorlopen om dit te testen? - Inrichting volgens best practice afas ingesteld in doorlopen in de testomgeving - Speelt dit probleem bij meerdere projecten of alleen bij OR25-03799? - Nee, dit geldt voor alle orders met de aangegeven instelling - Wat is de gewenste situatie die je probeert te bereiken met de verzamelmethode? - Dat de verzamelmethode 'verplichting per inkooporderregel' in de context op een gewenst profiel kan worden ingesteld."
HRM,Foutmelding bij genereren signaal: Inserted value does not meet the length requirements for field 'Zakelijk mailadres' (U72F43447955140DD8A56A870CAE6A50C). Max length = 30,"Probleembeschrijving: Goedemiddag, Goedemiddag, Het signaal dat 6 maanden voor aflopen van het leasecontract gegenereerd wordt, werkt niet. Floor Wassenaar heeft 1 gedeelte van het probleem opgelost, maar het lukt haar niet om (in de tijd) het gehele probleem op te lossen. Zie mail in de bijlage. Het proefsignaal wordt gegenereerd, maar komt niet in het dossier van de medewerker terecht. Kunnen wij hier op korte termijn bij geholpen worden? Alvast bedankt, groeten, Simone van den Hurk Aanvullende details: - Waar loop je precies tegenaan met het signaal dat niet in het dossier terechtkomt? - Dat we leasecontracten niet tijdig verlengen indien nodig. - Sinds wanneer speelt dit probleem? - Sinds een paar weken? - Wat is er precies gewijzigd door Floor Wassenaar en wat is nog niet opgelost? - Zie email."
HRM,[Bijlage] [Overzicht] Diploma in InSite openen lukt niet; regel met bijlage is niet klikbaar.,"Probleembeschrijving: Goedemiddag! We maken nu bij onboarden gebruik van de draaiboek taak: aanmaken opleidingen, voorheen deed we dit anders. De medewerker ziet de registratie van opleiding in InSite, maar je kan de regel niet open klikken, waarin de bijlage zit. hoe kan ik diploma openen in inSite die als opleiding is toegevoegd? want dit willen we natuurlijk wel voor de medewerker. Aanvullende details: - Waar loop je precies tegenaan? Kun je meer details geven over wat er gebeurt als je probeert de diploma te openen in InSite? - Je kan de regel niet openen - Welke stappen doorloop je om de diploma te openen? Kun je een beschrijving geven van het proces? - Er op klikken - Sinds wanneer speelt dit probleem? - Altijd al, maar voorheen registreede we de diploma via een vrij type dossier item"
ERP,[back-up | terugzetten] Herstel van verwijderde financiële mutaties en terugzetten back-up vóór 18-04-2025.,"Probleembeschrijving: Ik heb mutaties verwijderd in financiële mutaties die niet verwijderd hadden moeten worden. Ik heb jullie hulp nodig om een back-up terug te zetten en de werkzaamheden die ik verricht heb van 18-04-2025 te herstellen. Aanvullende details: - Kun je precies aangeven welke mutaties zijn verwijderd? - alles met datum gewijzigd en dan ""2025"" - Heb je een back-up beschikbaar van de gegevens vóór 18-04-2025? - Nee, die hebben jullie als het goed is. - Zijn er specifieke financiële periodes of transacties die hersteld moeten worden? - Alles"
ERP,Verliesverrekening Bellagio Beheermaatschappij NV in aangifte 2023 Kokobel BV ontbreekt.,"Probleembeschrijving: Kokobel BV is per 1-1-2023 gefuseerd met Bellagio Beheermaatschappij NV. Bellagio was verdwijnende vennootschap. Bellagio heeft over 2022 fiscaal te verrekenen verliezen van € 1.422.006. Kokobel zelf heeft over 2022 fiscaal te verrekenen verliezen van € 1.475.802. Ik heb twee regels aangemaakt voor de te verrekenen verliezen van 2022 met de bedragen hierboven per vennootschap, maar alleen het bedrag voor Kokobel zelf wordt meegenomen in de telling. Het maakt hierbij niet uit of ik in de regel voor Bellagio bij vennootschap niets kies en handmatig de RSIN van Bellagio invul of dat ik bij vennootschap Kokobel BV kies: Zie 2 bijlagen. De vraag is: Hoe krijg ik de te verrekenen verlies over 2022 voor Bellagio in de aangifte 2023 van Kokobel verwerkt? Aanvullende details: - Kun je bevestigen of de fusie correct is verwerkt in de software, inclusief de overdracht van fiscale gegevens? - Wat bedoel je precies met deze vraag? Als ik in Helpcenter zoek, krijg ik helemaal niets over fusies. - Kun je aangeven welke stappen je hebt doorlopen om de verliezen van Bellagio in te voeren? - Zie hierboven bij Beschrijving. - Kun je de diagnose van de aangifte 2023 delen, zodat we de verwerking kunnen controleren? - zie bij diagnose"
ERP,"Foutmelding bij maken van GetConnector met logtabel voor inkooporder. "" Cannot find getconnector fields.""","Probleembeschrijving: Hi AFAS, Ik krijg bij het maken van een GetConnector op basis van de gegevensverzameling 'Logtabel voor inkooporder (rapport)' de onderstaande foutmelding. Dit krijg ik in meerdere omgevingen. Andere logtabellen lijken ook niet te werken. Weten jullie hoe dit kan? Hoor graag. Met vriendelijke groet, Kay Moekotte Aanvullende details: - _Kun je precies aangeven welke stappen je doorloopt bij het maken van de GetConnector?_ - Klikken op nieuw en dan gegevensverzameling. - _Sinds wanneer speelt dit probleem?_ - Sinds vandaag - _Hebben de logtabellen ooit gewerkt in deze omgevingen?_ - Niet dat ik weet."
HRM,[Proforma] Hogere premie bij proefberekening pensioen,Probleembeschrijving: Pensioenpremie wordt niet goed berekend vanaf 1/6 Bij proforma berekening in juni wijzigt van de premie OP van 373.1 naar 1012.94 (WN 103770) en de AP premie van 4.01 naar 20.06 als ik voor mijzelf een proforma berekening maak voor juni zie ik ook de pensioenpremie fors stijgen Aanvullende details: - Wat is de gewenste situatie voor de pensioenpremie vanaf 1 juni? - ongewijzigd - Kun je de berekening zoals Profit deze nu maakt en zoals je deze verwacht toevoegen? - zie bijlage voor de salarisberekening van april en juni - Zijn er wijzigingen doorgevoerd in de CAO of pensioenregeling die invloed hebben op de berekening vanaf 1 juni? - nee
ERP,Hoe zie ik waar een inkoopfacturenworkflow is blijven hangen,
HRM,Instellen van LC 1034 voor uitbetaling waarde vakantieuren werkt niet zoals verwacht.,"Probleembeschrijving: Goedemorgen, wij hebben een uurloner waarbij naast de vakantietoeslag ook de waarde van de vakantieuren direct moet worden uitbetaald. Ik heb dit proberen activeren op medewerkerniveau in de loonverwerking op LC 1034. zie bijlage Er gebeurt echter niets. Het betreft M. Verdoorn. Aanvullende details: - Kun je precies aangeven wat je hebt ingesteld op medewerkerniveau voor LC 1034? - 100.002.016 berekenen ja nee - ingesteld op Ja - Kun je bevestigen of LC 1034 een eigen looncomponent is of een standaardcomponent? - standaard - Kun je aangeven wat je precies verwacht dat er gebeurt? - uitbetaling waarde vakantieuren"
ERP,Aanpassen afschrijvingsvoorwaarden voor meerdere hardware-activa met verschillende aanschafperiodes.,"Probleembeschrijving: Wij hebben op 01-01-2025 2 nieuwe BV's toegevoegd. Daarin wordt sommige hardware ook overgenomen. Een voorbeeld daarvan is hardware aangeschaft bij yellow arrow BV voor E. Slager (aangeschaft en geactiveerd op 21-12-2023). Nu heb ik het actief verkocht op 01-01-2025 aan yellowDATA en de factuur opgesteld voor de boekwaarde incl. btw en gestuurd. Nu wil je hem activeren bij yellowDATA maar de afschrijvingsvoorwaarde voor hardware is 5 jaar. Kan ik ergens dit aanpassen zodat ik de boekwaarde en dan ook nog de resterende afschrijvingsperiode zelf kan beslissen en invullen? En dan voor meedere hardware. een stuk of 5 maar dan is het niet handig om meerdere activagroepen te maken hiervoor. Kan ik dit ergens aanpassen? Scheelt een hele hoop correcties. Ik hoor het graag. Mvg, Marjie Schuur Aanvullende details: - Kun je aangeven in welk scherm of welke module je dit probeert aan te passen? - x - Heb je al geprobeerd de afschrijvingsvoorwaarden aan te passen in de instellingen van de activa-module? - Ja maar het gaat om meerdere actieven met verschillende aanschafperiodes in het verleden. - Is er een specifieke foutmelding of beperking waar je tegenaan loopt bij het invoeren van de nieuwe afschrijvingsperiode? - x"
HRM,Afstand woon-werk wordt niet automatisch bijgewerkt in looncomponent bij onboarden.,"Probleembeschrijving: Bij onboarden wordt de afstand woon-werk niet bijgewerkt in het looncomponent, dit moet PA handmatig doen. Aanvullende details: - Kun je precies aangeven welke stappen je doorloopt tijdens het onboarden? - Als de onboarden taak definitief is, ontvangt PA nog een taak om woon-werk te controleren in Profit bij looncomponent. Daar staat niks en het moet handmatig toegevoegd worden door PA. Dit lijkt me niet de bedoeling. - Wat is het stamnummer van looncomponent 900? - 100.008.016 - Is er een specifieke medewerker waarbij dit probleem speelt, of gebeurt dit bij alle nieuwe medewerkers? - Bij alle nieuwe medewerkers."
ERP,Foutmelding bij indienen BTW: 'Neem contact op met support' veroorzaakt door correcties.,"Probleembeschrijving: insturen BTW lukt niet en krijgen de foutmelding neem contact op met support Aanvullende details: - Kun je aangeven welke stappen je precies doorloopt voordat de foutmelding verschijnt? - Hi, bij het indienen van de BTW van TBTM via SB krijg ik een melding dat er € 1.389,04 aan correcties open staat. Als ik klik op ‘suppleties toevoegen’ krijg ik de melding ‘Er zijn perioden met een onjuiste statusvolgorde’ (zie bijlage) Hoe kan de BTW alsnog ingediend worden? Alvast bedankt. - Heb je gecontroleerd of er signalen in de administratie staan die mogelijk verband houden met deze foutmelding? - ja - Kun je bevestigen of er recent wijzigingen zijn aangebracht in de BTW-instellingen of periodes? - nee"
HRM,[PCC] POCI-instellingen opslaan. Lokale schijf niet zichtbaar,"Probleembeschrijving: Vorige week is mijn computer (door onze systeembeheerder Patrick Lariccia) gewijzigd van een Active directory Attema naar een nieuwe Active directory (moederbedrijf Kaiser). Het windows profiel is dus opnieuw aangemaakt. Hierdoor zijn de instellingen in de PCC verdwenen. Toen ik (gebruiker: Jannie van de Graaf) vandaag AFAS voor het eerst opstartte na bovenstaande situatie, werd er aangegeven dat CITRIX niet geinstalleerd stond en werk ik in de web-versie van Citrix. Ik heb vandaag een Analyse HRM (bezettingslijstje) gedraaid, maar de PCC doet het niet meer. Ik zie dit bestand nog wel in ” mijn bestanden“ staan, maar ik kan het verder niet lokaal opslaan en bewerken. Ik heb mijn systeembeheerder om hulp gevraagd. Hij heeft geprobeerd om de instellingen weer terug te krijgen in de PCC, maar we krijgen het POCI bestand niet lokaal op de c-schijf. Hoe moeten we dit oplossen? Aanvullende details: - Kun je precies aangeven welke foutmelding er verschijnt bij het gebruik van de PCC? - geen foutmelding - Hebben jullie al gecontroleerd of Citrix correct is geïnstalleerd en geconfigureerd op jouw nieuwe profiel? - ja, dat staat correct - Is er een specifieke reden waarom het POCI-bestand niet lokaal kan worden opgeslagen, zoals rechten of instellingen? - niet dat we weten"
ERP,[Blokkering] XML-generatie voor administratie 99 geannuleerd; aangifte opent niet meer.,"Probleembeschrijving: Beste Voor administratie 99 (Melis Mgmt) wou ik zonet de XML genereren maar heb dit proces geannuleerd. Als ik nu die aangifte gewoon wil openen dan lukt dit niet, deze gaat niet meer open ... ik krijg ook geen foutmelding of zo... Die van administratie 1 (Melicts) gaat wel gewoon open. Kunnen jullie bekijken aub, dit is redelijk dringend aangezien de BTW ingediend moet worden? Alvast bedankt. Aanvullende details: - Kun je precies aangeven welke stappen je hebt doorlopen voordat je het proces annuleerde? - Gewoon op de knop Annuleren geklikt - Speelt dit probleem bij meerdere gebruikers of alleen bij jou? - / - Kun je een schermafbeelding toevoegen van het scherm waar het probleem zich voordoet? - Als ik op Financieel/Btw/icp/Btw/icp-aangifte klik"
ERP,[Export I Weergave I Verkoop I Dagboek] Exporteren van verkoopjournaalregels naar Excel vanuit financiële mutaties.,"Probleembeschrijving: Dag AFAS, Kan ik ergens een overzicht van alle verkoopjournaalregels exporteren naar Excel? De klant wilt namelijk kunnen controleren op omschrijving van verkoopjournaalregel welk bedrag er bijvoorbeeld voor een bepaalde omschrijving is gevraagd. Vanuit de financiële mutaties zie je alleen op hoofdlijnen de verkoopfacturen, maar niet specifiek de verkoopjournaalregels welke in die factuur zitten. Groetjes Stan Aanvullende details: - Kun je aangeven welke module of functionaliteit je momenteel gebruikt om de financiële mutaties te bekijken? - de module financiële mutaties - Heb je al geprobeerd een rapport of export in te stellen in de module waar je de verkoopjournaalregels beheert? - ja heb ik geprobeerd - Kun je aangeven of je specifieke filters of criteria wilt toepassen bij het exporteren? - nee niet specifiek"
ERP,[Geldigheidscombinaties] Uitsluiten van ongewenste urensoorten bij uren schrijven op project.,Probleembeschrijving: Uitsluiten van urensoorten op project. Op het verlof en verzuim project kan uit verschillende urensoorten gekozen worden. DIt is ongewenst omdat 150% en 200% niet van toepassing zijn. Hoe kunnen we die verbergen bij het uren schrijven? Een voorkeur is reeds ingesteld voor NF (Feestdag) echter dat sluit niet de ongewenste urensoorten uit. Aanvullende details: - Welke stappen heb je precies doorlopen om de urensoorten te configureren? - Voorkeur ingesteld. Help pagina doorgenomen. - Kun je aangeven hoe de voorkeur voor NF (Feestdag) is ingesteld? - Op normale uren (1) - Kun je precies beschrijven hoe de urensoorten momenteel worden weergegeven en welke stappen leiden tot deze weergave? - Urenschrijven
ERP,[btw-code | btw-tariefgroep] Kan geen concept aanmaken dat vrijgesteld is van BTW; bestaande concepten zijn gewijzigd naar vrijgesteld.,"Probleembeschrijving: Kan geen (concept/uren) concept aanmaken wat vrijgesteld is van BTW. Er is een vrijgestelde BTW code aanwezig. BTW plicht van het bestaande concept gewijzigd via acties naar vrijgesteld. Aanvullende details: - Kun je aangeven welke stappen je precies doorloopt bij het aanmaken van het concept? - BTW plicht vrijgesteld ingesteld bij debiteur. Bestaand concept btw - Is de vrijgestelde BTW-code correct ingesteld in de administratie? - Ja, nagelopen met artikel KB - Kun je een schermafbeelding toevoegen van de foutmelding en het scherm waarin je je bevindt? - Ja"
ERP,"[Projecten | termijnfactuur] Foutieve btw-berekening bij factuurtermijnen, inclusief en exclusief bedragen kloppen niet.","Probleembeschrijving: De bedragen van mijn project in- en exclusief btw kloppen niet meer. De aanneemsom is 376.961 inclusief btw, maar in de factuurtermijnen bedenkt het systeem dat daar nog een keer btw op moet. En bij de 1e termijn doet ie dat niet, maar wel bij de overige termijnen. Aanvullende details: - Waar loop je precies tegenaan? Kun je uitleggen wat er gebeurt bij de factuurtermijnen? - foutieve btw berekening - Sinds wanneer speelt dit probleem? - recent, enkele weken? - Wat is er sinds het moment dat het werkte veranderd in de instellingen of configuratie? - niks"
HRM,"[Vrije tabel] 'Reden einde Arbeidsovereenkomst' niet zichtbaar, verplicht veld foutmelding.","Probleembeschrijving: Beste AFAS, In het uitdienst profiel zit het veld 'Reden einde arb. overeenk.' wat gekoppeld is aan vrije tabel: Reden einde Arbeidsovereenkomst. Als ik zoek in de vrije tabellen kan in de tabel 'Reden einde Arbeidsovereenkomst.' niet vinden. Klopt dit en is dit een tabel die door jullie wordt onderhouden? Want ik zocht naar een mogelijkheid om dit veld ook op de medewerkerskaart in Profit te kunnen aanpassen maar ik weet nu niet vanuit welke context in het veld zichtbaar kan maken. Ik had ook al geprobeerd om het veld uit te zetten en een eigen veld van te maken omdat ik de vrije tabel niet kon vinden, maar dan volgt een foutmelding in het uitdienst proces dat dit veld verplicht ingevuld moet worden. Aanvullende details: - Kun je bevestigen of de vrije tabel 'Reden einde Arbeidsovereenkomst' daadwerkelijk niet zichtbaar is in jouw omgeving? - Dat kan ik bevestigingen, wat wel vreemd is - Heb je gecontroleerd of er specifieke rechten of instellingen zijn die toegang tot deze vrije tabel beperken? - Ja, maar die zijn er niet want ik heb APL rechten - Welke foutmelding krijg je precies wanneer je probeert het veld uit te zetten en een eigen veld te maken? - Ik krijg dan de foutmelding dat het veld 'Reden einde arb. overeenk' een verplicht veld is."
ERP,[Koppeling | Woomerce] Verwerken van ZV-artikelen in AFAS en tonen als 'op voorraad' in WOO. Artikelen zonder voorraad moeten voorraad hebben vanuit koppeling. Is dit in te richten?,"Probleembeschrijving: Ter attentie van Jasper Oud als navolging van icident 2346180. Zoals besproken haalt WOO (onze verkoopwebsite) middels een koppeling de artikelen en beschikbare voorraad uit AFAS uit het veld ""beschikbare voorraad"", Echter hebben wij van onze artikelen twee optie's. Optie met voorraad en zonder voorraad. De zonder voorraad artikelen zijn de ZV artikelen. Dit zijn in AFAS geen voorraadproducenten maar deze zouden we graag in WOO dus wel altijd willen tonen met op Voorraad. Is dit in AFAS goed is in te richten? Aanvullende details: - Kun je precies aangeven hoe de ZV-artikelen momenteel worden verwerkt in AFAS? - Inkoopfactuur en verkoopfactuur - Wat is de gewenste situatie voor het tonen van deze artikelen op WOO? Moeten ze altijd als 'op voorraad' worden weergegeven, ongeacht hun status in AFAS? - Klopt aangezien deze direct geleverd worden bij de leverancier en niet via de vooraad lopen - Zijn er specifieke instellingen of velden binnen AFAS die al gebruikt worden om onderscheid te maken tussen voorraad en niet-voorraadartikelen (zoals ZV)? - We maken onderscheid door artikelgroepen."
ERP,"[vrij veld] Contactpersoon op factuur blijft zichtbaar, ondanks pogingen tot verwijdering.",Probleembeschrijving: Ik heb een contactpersoon die op de facturen staat die eruit moet. Maar ik kan die contactpersoon nergens vinden. Toen dacht ik dat ze misschien al verwijderd was door een collega dus ik heb een testfactuur gemaakt in ordermanagement. Als ik die factuur afdruk staat ze er nog steeds op. Waar kan ik haar vinden en weghalen? Aanvullende details: - Kun je precies aangeven waar je de contactpersoon op de factuur ziet staan? Bijvoorbeeld in een specifieke sectie of veld? - Tussen naam bedrijf en adresregel. In het rapport staat daar het veld TAV factuur - Kun je bevestigen of de contactpersoon nog in de database staat of dat deze al verwijderd is? - Ik kan haar niet vinden. Dat is mijn hele probleem. - Kun je aangeven of de contactpersoon gekoppeld is aan een specifieke klant of factuur? - Ja. Ze komt voorbij 1 klant
HRM,[Contract] Werkgever 'Personeel Niet in Loondienst' kan niet gewijzigd worden naar 'Stichting Versa Welzijn'; naam blijft grijs.,"Probleembeschrijving: Profit Werkgever. Ik probeer de Werkgever van 'Personeel Niet in Loondienst' aan te passen naar 'Stichting Versa Welzijn' omdat hij per 1 mei 2025 een Oproepcontract krijgt. Aanvullende details: - Kun je precies aangeven welke foutmelding er verschijnt? - De Werkgeversnaam kan ik niet wijzigen en blijft op grijs staan. - Welke stappen doorloop je om de werkgever te wijzigen? Kun je dit beschrijven of een schermafbeelding toevoegen van het proces waarin je vastloopt? - Zie bijlage. - Is er iets gewijzigd in de omgeving sinds deze medewerker is toegevoegd, zoals instellingen voor werkgeverskoppeling of contracttypes? - N.v.t."
ERP,[licentie] Aanpassen van AFAS-abonnement door afsluiten van onzichtbare testomgeving en gebruikersaantal verlagen.,"Probleembeschrijving: Ik stoei met de licenties. We zijn in omvang in ons bedrijf ingekrompen en ik wil ons afas abonnement daarin mee laten bewegen. Ik loop tegen wat hobbels aan, waarvan ik hoop dat jullie me kunnen helpen: - er is een extra test omgeving die we niet gebruiken, kunnen jullie die voor mij afsluiten? Voor mij is die omgeving niet zichtbaar. - Ik vermoed dat daar ook medewerkers of gebruikers in staan, want zelf tel ik tot niet meer dan 9 gebruikers / medewerkers en ik blijf er 14 zien. Kunnen jullie me daarmee helpen, ik vermoed dat bij het opheffen van de testomgeving de gebruikers zakken naar onder de 10. Ik heb niemand in de organisatie waar ik het verder aan kan vragen, dus zou fijn zijn als jullie me kunnen ondersteunen. Alvast dank! Tiba Aanvullende details: - Kun je aangeven welke stappen je hebt doorlopen om de testomgeving te bekijken of af te sluiten? - de omgeving is niet zichtbaar voor mij. - Heb je toegang tot een overzicht van alle gebruikers en medewerkers in de testomgeving? - nee - Kun je bevestigen of de testomgeving ooit zichtbaar is geweest voor jou? - nee niet zichtbaar"
ERP,[weergave aanpassen] Aanpassing van weergave in rekeningoverzicht en openstaande posten naar aantal dagen openstaand.,Probleembeschrijving: er staat op het rekeningoverzicht het aantal dagen wat de faktuur openstaat en bij openstaande posten het aantal dagen over de vervaldatum. is verwarrend!! kunnen jullie aanpassen in openstaande posten naar aantal dagen wat openstaat?? Aanvullende details: - Kun je precies aangeven welke velden of kolommen in het rekeningoverzicht en bij de openstaande posten aangepast moeten worden? - vervaldagen openstaande posten aanpassen naar aantal dagen openstaand - Wat is de gewenste situatie voor de weergave van deze informatie? - zie hierboven - Speelt dit probleem bij meerdere gebruikers of alleen bij jou? - bij alle gebruikers graag aanpassen
