Index,GPT-5.1_low_antwoorden
326,"Hoi Sandor,

Goede vraag, dit soort tijdsverschillen kan inderdaad tot discussie leiden.

Op basis van je beschrijving (09:06 in de ziekmelding, 14:06 in jullie omgeving, werknemer in tijdzone -5 uur) is dit bijna zeker een tijdzone-issue:

- 09:06 = lokale tijd werknemer (time zone: NL - 5 uur)
- 14:06 = tijd op de server / in jullie Nederlandse omgeving

Algemeen werkt dit in de meeste systemen als volgt:
- De werknemer voert de ziekmelding in op zijn device.
- Het device stuurt datum/tijd + tijdzone mee (of de applicatie zet dit om naar UTC).
- De server slaat de tijd op in een standaardtijd (meestal UTC) en toont deze vervolgens in de tijdzone die voor jullie omgeving is ingesteld (bijv. Europe/Amsterdam).
- Hierdoor kan de werknemer 09:06 zien (zijn tijd) en jij 14:06 (jouw/servers tijd) voor hetzelfde moment.

Antwoorden op je kernvragen:

1) Op basis van welk gegeven wordt de logging vastgelegd?
- In de praktijk:
  - Het “systeemtijdveld” (zoals de logregel in de workflow, of de tijd waarop de bevestigingsmail/WF is verstuurd) wordt bepaald door:
    - de tijdzone van de server / applicatieomgeving (bij jullie: NL) of
    - de standaardtijdzone van jullie tenant / klantconfiguratie.
  - Het tijdstip dat in de ziekmelding zelf staat, zeker als dit overeenkomt met de lokale tijd van de werknemer (09:06), is vaak:
    - de lokale tijd van de gebruiker (device- of gebruikersprofiel-tijdzone), of
    - de door de gebruiker gekozen startdatum/-tijd, die in de UI in zijn tijdzone wordt getoond.

2) Is dit door de werknemer aan te passen?
- De startdatum/-tijd van de ziekmelding meestal wel.
- Het “loggingtijdstip” (bijv. “aangemaakt op”, “ingediend op”, audit-logregels) normaal gesproken niet; dat wordt door het systeem gezet.
- Dat jouw loggingveld óók 09:06 toont, wijst erop dat:
  - de UI die tijd in de tijdzone van de werknemer toont, óf
  - het systeem het invoermoment op basis van de device-/gebruikers-tijdzone vastlegt, en jij dat veld via een scherm ziet dat ook zijn tijdzone gebruikt.

3) Welke tijd kun je het beste hanteren bij een dispuut?
- Voor een feitelijke tijdlijn:
  - Gebruik de audit-/systeemlog (bijv. “ingediend op”, workflow-trigger tijd, e-mailverzonden tijd), omdat die:
    - in één vaste tijdzone loopt (meestal server/tenant-tijd) en
    - niet door de werknemer te manipuleren is.
- Voor de uitleg richting werknemer:
  - Leg uit dat zijn 09:06 lokale tijd is en dat dit in NL 14:06 is, en dat het dezelfde gebeurtenis betreft.

4) Wat kun je nu concreet doen?
- Controleer in jullie applicatie/omgeving:
  - Of er een veld bestaat als “aangemaakt op / createdOn / submittedAt” met tijdzone-informatie (vaak in de technische logging of audit trail).
  - Welke tijdzone is ingesteld voor:
    - de tenant/omgeving (meestal “Europe/Amsterdam”),
    - de gebruiker (soms in zijn gebruikersprofiel),
    - en/of het portal/app waarmee hij zich ziekmeldt.
- Als je een harde onderbouwing nodig hebt:
  - Maak een simpele test:
    - Laat iemand in NL exact op een bepaald tijdstip een ziekmelding doen.
    - Laat iemand in een andere tijdzone tegelijk een melding doen.
    - Vergelijk de logvelden en de weergegeven tijden; dan zie je precies welke velden in welke tijdzone worden vastgelegd.

Omdat ik jullie specifieke systeem/leverancier niet ken, kan ik niet 100% zeggen “het is de server” of “het is het device”, maar op basis van het 5-uurverschil en jouw beschrijving is het zeer waarschijnlijk:
- Workflow- en mailtijdstippen: server-/NL-tijd.
- Tijd in de ziekmelding/log die 09:06 toont: lokale tijd/ tijdzone van de werknemer.

Als je me nog kunt vertellen:
- Welke applicatie/leverancier jullie gebruiken (bijv. AFAS, Raet/Visma, SAP SuccessFactors, Workday, etc.),
dan kan ik gerichter aangeven hoe het daar meestal precies technisch is geregeld en welke velden je het beste in een dispuut kunt gebruiken."
327,"Dank voor je duidelijke toelichting.

Omdat je aangeeft dat:
- de wijziging in de gegevensverzameling is opgeslagen en voltooid
- het vinkje “Zichtbaar” aanstaat
- er geen filters actief zijn
- de weergave voor iedereen toegankelijk is

blijven er in de praktijk maar een paar logische oorzaken over waarom “Mobiel werk” niet zichtbaar wordt in de weergave “Medewerkers (alle) uitgebreid”.

Loop onderstaande punten even na:

1) Staat het veld wel als kolom in de weergave zelf?
   - In veel HRM-omgevingen geldt: een veld dat zichtbaar is in de gegevensverzameling, komt niet automatisch als kolom in de weergave.
   - Controleer in de definitie van de weergave “Medewerkers (alle) uitgebreid”:
     - Of het veld “Mobiel werk” daar ook expliciet als kolom is toegevoegd.
     - Of de wijziging in de weergave zelf is opgeslagen en (indien van toepassing) gepubliceerd.

2) Is de gebruiker-/rolconfiguratie voor kolommen (persoonlijke weergave) van invloed?
   - Sommige systemen laten gebruikers kolommen persoonlijk aan- of uitzetten.
   - Controleer:
     - Of de kolom mogelijk is verborgen in de persoonlijke instellingen/kolomkiezer.
     - Of het helpt om:
       - De weergave te resetten naar standaard, of
       - In de kolomselectie expliciet “Mobiel werk” aan te vinken.

3) Bestaat er al een veld met (bijna) dezelfde naam in deze weergave?
   - Soms wordt het nieuwe veld niet getoond als er al een ander veld met dezelfde of erg gelijkende naam bestaat.
   - Controleer:
     - Of er al een andere kolom “Mobiel werk” of iets vergelijkbaars aanwezig is.
     - Of het nieuwe veld misschien “achter” een andere gelijknamige kolom zit (zelfde label, ander technisch veld).

4) Soort veld / context van “Mobiel werk”
   - In sommige HRM-systemen:
     - Is een veld contextgebonden (bijv. alleen zichtbaar bij bepaalde mutatiestanden, dienstverbandtypes, of alleen op medewerker- in plaats van contractniveau).
   - Controleer:
     - Of “Mobiel werk” in de gegevensverzameling is gekoppeld aan dezelfde hoofdentiteit als de weergave (bijv. Medewerker i.p.v. Contract, of andersom).
     - Of het veld misschien alleen zinvol is als er daadwerkelijk een waarde is, en dus bij jouw testmedewerkers leeg blijft. Kijk of het veld in de kolomlijst voorkomt, ook al is de inhoud leeg.

5) Cache / browser / sessie
   - Soms wordt een gewijzigde weergave pas goed zichtbaar na:
     - Cache leegmaken of andere browser proberen.
     - Uit- en inloggen.
   - Test ook even met een andere gebruiker om uit te sluiten dat het iets lokaals is.

6) Controleer of je de juiste gegevensverzameling hebt aangepast
   - In sommige omgevingen bestaan meerdere (bijna identieke) gegevensverzamelingen met namen als:
     - “Medewerkers (alle) uitgebreid”
     - “Medewerkers (alle) uitgebreid – kopie”
   - Controleer:
     - Of de gegevensverzameling die je hebt aangepast exact dezelfde is als die in de weergave is gekoppeld.
     - Of er geen andere versie van de weergave actief is voor gebruikers dan degene die jij hebt bewerkt.

Als je wilt, kun je (geanonimiseerde) extra details delen, zoals:
- Hoe het veld “Mobiel werk” precies heet in de gegevensverzameling (technische naam + label).
- Of je in de definitie van de weergave het veld daadwerkelijk terugziet in de kolomlijst.
- Of je in de kolomkiezer (aan de gebruikerskant) het veld “Mobiel werk” ziet staan maar niet aangevinkt krijgt, of dat het helemaal niet voorkomt.

Aan de hand daarvan kan ik gerichter aangeven wat er precies fout gaat en welke stap je moet zetten om het veld zichtbaar te krijgen."
328,"Dank voor de duidelijke toelichting.

Als alles grijs blijft en er geen regels kunnen worden toegevoegd, ligt dit bijna altijd aan één van de volgende punten:

1) Status van de factuur
- Controleer of de factuur definitief/geboekt is.
  - Definitieve/geboekte facturen kunnen niet meer worden aangepast, dan is alles grijs.
  - Alleen concept-/ontwerp-facturen zijn nog bewerkbaar.
- Kun je bij factuur P22025023 even aangeven:
  - Welke status deze precies heeft (concept/definitief/geboekt/gefiatteerd/etc.)?
  - Of er een boekingsdatum op staat?

2) Vaste perioden / afgesloten periodes
- Als de factuur in een periode valt die financieel is afgesloten, kan bewerken ook geblokkeerd zijn.
- Kun je controleren of de boekingsperiode van deze facturen misschien is afgesloten?

3) Rol/rechten in combinatie met status
Je geeft aan dat de rechten voor Rian goed staan. Toch graag nog even controleren:
- Kan een collega met dezelfde rol wél regels toevoegen aan dezelfde factuur?
- Kan Rian bij een nieuw aangemaakte testfactuur (concept) wél een tekstregel toevoegen?

Om verder te kunnen, wil je me de volgende info sturen:
- Exacte status van factuur P22025023.
- Of Rian bij een nieuwe testfactuur (concept) wél regels kan toevoegen.
- Of een andere gebruiker de betreffende facturen wél kan bewerken.

Met die info kan ik gerichter bepalen of het aan de status/periode ligt of dat we naar een mogelijk technisch probleem moeten kijken."
329,"Dank voor je duidelijke toelichting.

Belangrijk eerst: ik kan de bijlagen (PNG’s) in deze omgeving helaas niet inzien. Daardoor weet ik niet precies welke veldnamen jullie in de getconnector zien. Ik kan dus geen 100% zeker antwoord geven over “dit ene veld moet je toevoegen”, maar ik kan je wel gericht op weg helpen.

Algemene uitgangspunten bij AFAS-getconnectors:
- Een getconnector garandeert niet altijd dat er een kant‑en‑klaar uniek ID‑veld aanwezig is.
- Vaak bestaat de unieke sleutel uit:
  - een “header”-ID (bijv. salarisverwerkingsrun / salarisdocument / batch),
  - + een detailvolgnummer (bijv. detailregelnummer / mutatievolgnummer),
  - eventueel aangevuld met periode/jaar of soort verwerking.

Wat je nu al hebt:
- Combinatie die jullie gebruiken:
  - Sal.verw.plan
  - Medewerker
  - Grootboekrekening_xxxx
  - Looncomponent
  - Vlgnr
- D&A geeft aan dat dit nog steeds dubbels oplevert.

Typische extra velden die vaak nodig zijn om salarisregels uniek te maken zijn bijvoorbeeld (namen kunnen afwijken, afhankelijk van jullie omgeving):
- Run- of batch-id:
  - SalarisverwerkingID / SalarisrunID / Verwerkingsnummer / Documentnummer
- Detail- of mutatievolgnummer op het niveau van de run:
  - MutatieID / Mutatievolgnummer / Regelnummer / DetailID
- Tijdstempel:
  - Datum/tijd laatst gewijzigd (bijv. DtMut, LastModified, DatumTijdAangemaakt)

Wat ik concreet zou adviseren:

1) Controleer of er een “run-/document”-veld is
   Zoek in de lijst met velden naar iets dat lijkt op:
   - Salarisverwerking, “Run”, “Verwerking”, “Document” + nummer/ID
   - Voorbeeldnamen: Salarisrun, SalVerwNr, Verwerkingsnummer, DocumentID
   Dit veld koppelt meestal alle regels aan één salarisverwerkingsrun.

2) Controleer of er een “detail-/mutatie”-veld is
   Naast jullie “Vlgnr” kan er nog een ander volgnummer zijn:
   - Mutatienummer / Mutatievolgnummer / SalarismutatieID / Regelnr / Detailnr
   Dit is vaak de echte unieke regel binnen een run.

3) Voeg eerst deze combinaties testmatig toe
   - Combinatie A:
     - Sal.verw.plan
     - Medewerker
     - Looncomponent
     - Run-/Document-ID (indien aanwezig)
     - Detail-/mutatievolgnummer
   - Combinatie B (als er geen duidelijk run-ID is):
     - Alle huidige velden
     - + een veld als “Mutatienummer / MutatieID / Regelnr”
   - Combinatie C (als jullie te maken hebben met revisies/overschrijvingen):
     - Alle velden die nu nodig zijn
     - + Datum/tijd laatst gewijzigd
     En dan in je D&A-landschap de laatste versie per combinatie selecteren.

4) Hoe je snel controleert welke combinatie uniek is (zonder Excel)
   Laat je D&A-team bijv. in:
   - SQL / Databricks / Power BI / een andere query-tool een GROUP BY doen op de kandidaat-sleutels en:
     - aantal records tellen per combinatie (COUNT(*))
     - en filteren op combinaties met COUNT(*) > 1
   Zo zie je snel of je combinaties echt uniek zijn.

Waarom jullie nog dubbels kunnen zien:
- Er kunnen meerdere verwerkingen/runs zijn met identieke:
  - salarisverwerkingsplan,
  - medewerker,
  - looncomponent,
  - grootboekrekening,
  - volgnummer.
- Of er zijn meerdere versies van dezelfde mutatie (bijv. herberekeningen / correcties).

Zonder de exacte veldnamen te zien, is mijn meest waarschijnlijke antwoord:
- Er is nog een “run-/document-id” of “mutatie-/regelnr”-veld nodig naast de velden die jullie nu gebruiken.
- Als er sprake is van revisies/herberekeningen, heb je daarnaast een datum/tijdveld (“laatst gewijzigd”) nodig om de laatste versie te bepalen.

Zou je (eventueel gekopieerd uit de AFAS-omgeving) de lijst met veldnamen als tekst kunnen sturen, of in ieder geval:
- alle velden die lijken op:
  - run-/documentnummer
  - mutatie-/regelnr
  - datum/tijd (aangemaakt / gewijzigd)

Dan kan ik veel gerichter aangeven:
- “Gebruik combinatie van veld X + veld Y als unieke sleutel”
of
- “Gebruik deze sleutel + kies in je rapportage de record met de laatste wijzigingsdatum.”"
330,"Dank voor de toelichting, dat is helder.

Omdat dit eerst goed ging en nu pas fout gaat bij een langere specificatie, is dit vrijwel zeker een opmaak-/paginering‑issue in het rapport zelf (secties, hoogte, “keep together” e.d.), niet in de factuurdata.

Ik moet wel weten in welke rapportage‑tool dit rapport is gemaakt (bijv. RDLC/SSRS, Crystal Reports, DevExpress, FastReport, Word‑sjabloon, …), want de exacte instellingen en namen kunnen per tool verschillen.

Tot die tijd kun je dit controleren:

1) Controleer positie van factuurdetails versus voettekst
- Zorg dat de detailsectie (factuurregels / specificatie) NIET in de Page Footer of Report Footer staat.
- Ze moeten in een:
  - Detail‑sectie, of
  - Group Footer / Body staan, afhankelijk van de tool.
- De echte voettekst (met totalen, betalingsinfo, pagina‑info) hoort in de voettekst‑sectie (Page Footer/Report Footer), met duidelijke hoogte.

2) Instellingen voor paginering
Zoek naar instellingen in de trant van:
- “Keep together” / “Keep group together”
  - Zet dit UIT bij de groep/sectie met de factuurregels als daardoor tekst doorloopt over de footer.
- “Allow grow / CanGrow”
  - Voor velden met tekst (omschrijving / specificatie) moet dit AAN staan.
- “Insert page break before/after” / “Page break at end”
  - Overweeg een page break vóór de voettekst of na de factuurdetails zodat de voettekst altijd op een nieuwe pagina begint als de ruimte niet voldoende is.

3) Controleer vaste hoogte / overlap
- Controleer of je detail‑sectie of tekstvakken een vaste hoogte hebben die te groot is ingesteld.
- Controleer of er geen “overlapping controls” zijn: items die grafisch over elkaar heen liggen (veel tools laten dat toe maar paginering gaat dan mis).
- Geef de Page Footer een vaste hoogte en controleer in de design‑weergave dat er nog voldoende “witruimte” tussen onderkant detail en bovenkant footer overblijft.

4) Specifiek voor lange omschrijvingen
Als de lange specificatie in één tekstvak staat:
- Zorg dat:
  - het tekstvak “kan groeien” (CanGrow/Autosize),
  - er geen maximumhoogte/grootte is ingesteld die tekst buiten de sectie duwt,
  - alg. sectiehoogte niet kunstmatig beperkt is.
- Als er toch niet genoeg plek is op de pagina:
  - Moet de rapportage‑tool automatisch een page break doen en de rest van de factuurregels op de volgende pagina voortzetten (dat is meestal een instelling bij de detail/groep‑sectie).

5) Test met een kunstmatig lange factuur
- Maak een testfactuur met:
  - veel factuurregels én
  - een paar extreem lange omschrijvingen.
- Kijk:
  - of de footer altijd netjes onderaan de pagina blijft,
  - of de regels netjes naar volgende pagina’s doorlopen.

Om je echt gericht te kunnen helpen, kun je nog even doorgeven:
- In welke rapportage‑tool is “LooPlan – Projectfactuur 2025 incl details” gemaakt? (bijv. RDLC/SSRS, Crystal Reports, DevExpress, …)
- Staat de lange specificatie in één groot tekstvak, of per regel?

Dan kan ik stap‑voor‑stap aangeven welke instelling je precies waar moet aanpassen."
331,"Dank voor je bericht!

Je onderwerp is:
""[Onboarden] Velden Verantwoordelijke en Organisatorische eenheid""

Maar er staat geen toelichting of vraag bij (Toelichting: NaN). Kun je aangeven wat je precies wilt weten over deze velden? Bijvoorbeeld:

- Wil je weten wat het verschil is tussen:
  - Verantwoordelijke
  - Organisatorische eenheid
- Of het om uitleg gaat voor een handleiding of werkinstructie?
- Of je hulp nodig hebt bij het juist invullen van deze velden in een systeem (en zo ja: welk systeem)?

Als je kort aangeeft:
- In welke applicatie/systeem het gaat
- Voor wie de instructie bedoeld is (bijv. HR, leidinggevenden, servicedesk, etc.)
- Wat het probleem of de onduidelijkheid nu is

dan kan ik een gericht en concreet antwoord of tekstvoorstel voor je maken."
332,"Hoi Patrick,

Dank voor je duidelijke toelichting.

Omdat het vooral na de wijziging van de BTW-structuur optreedt en via de OCI-koppeling (Lyreco), ligt het waarschijnlijk aan één van de volgende punten:

Mogelijke oorzaken om te controleren:
- De BTW-tariefgroep die door de OCI-order wordt gebruikt, is (per ongeluk) geblokkeerd of vervallen.
- De standaard BTW-tariefgroep bij:
  - de betreffende debiteur/leverancier (Lyreco),
  - de gebruikte grootboekrekeningen voor inkopen,
  - of de “standaard artikelinstellingen”
  komt niet meer overeen met de huidige, actieve tariefgroepen.
- Er is nog ergens een oude BTW-code of -tariefgroep gekoppeld in:
  - de inkooprelatie (Lyreco),
  - het bestelprofiel / de inkoopinstellingen,
  - of in de OCI-koppeling zelf (bijv. mapping in het koppeldossier).

Omdat je aangeeft dat:
- alle artikelen al aan een niet-geblokkeerde tariefgroep hangen, en
- het alleen bij deze ene gebruiker/proces optreedt,

lijkt het meer in de koppeling/instellingen dan in de artikelen zelf te zitten.

Wil je het volgende aanleveren/controleren, zodat we gericht kunnen meekijken?

1) Volledige foutmelding:
- Exacte fouttekst en eventueel foutcode uit AFAS (screenshot mag, met datum/tijd).
- Op welk moment in het proces komt de melding? (bij import, bij opslaan, bij boeken?)

2) Gebruiker en omgeving:
- Gebruikersnaam van de persoon bij wie het misgaat.
- Omgeving en (indien van toepassing) deeladministratie waar de bestelling terechtkomt.

3) OCI/inkoopinstellingen:
- Welke inkooprelatie wordt gebruikt voor Lyreco (relatiecode)?
- Screenshot of overzicht van:
  - de inkoopinstellingen/koppeling voor Lyreco (OCI-instellingen),
  - de standaard grootboekrekening(en) voor inkopen bij Lyreco,
  - de gekoppelde BTW-code/BWT-tariefgroep bij die grootboekrekening(en).

4) Eén concreet voorbeeld:
- Datum en tijdstip waarop de fout optrad.
- Indien bekend: een voorbeeld van een artikel dat in de Lyreco-bestelling zat (artikelcode bij Lyreco of omschrijving).

Wat je zelf alvast kunt testen:
- Maak in AFAS handmatig een vergelijkbare inkooporder aan voor dezelfde leverancier:
  - Gebruik dezelfde administratie en dezelfde gebruiker.
  - Kies een willekeurig artikel met dezelfde (nieuwe) BTW-tariefgroep.
  - Kijk of je dan dezelfde melding krijgt.
  - Zo ja: probleem zit in de algemene instellingen/BTW-structuur.
  - Zo nee: probleem zit waarschijnlijk specifiek in de OCI-koppeling/mapping.

Als je de gevraagde gegevens en screenshots aanlevert, kunnen we gerichter controleren of er nog ergens een oude of geblokkeerde BTW-tariefgroep in de keten hangt en zo nodig aangeven welke instelling aangepast moet worden."
333,"Dank voor de duidelijke toelichting.

Samenvatting probleem:
- In OutSite (Onboarden) ziet de sollicitant bij de taak “Arbeidsovereenkomst ondertekenen” naast de knop “Ondertekenen” ook de knop “Aanpassen”.
- Bij klikken op “Aanpassen” loopt de sollicitant terecht vast op autorisatie, maar de knop moet helemaal niet zichtbaar zijn.
- In de workflow staat “aanpassen” uit, en in autorisaties (functionaliteiten/pagina’s) is niets gevonden dat deze knop verklaart.

Omdat dit gedrag meestal niet uit de “gewone” workflow‑instellingen komt, heb ik een paar gerichte controles/vragen om het goed te kunnen herleiden:

1) Exacte taaktype / workflow
- Kun je bevestigen:
  - Naam van de workflow: bijvoorbeeld “Onboarden – Arbeidsovereenkomst ondertekenen” (of hoe hij precies heet).
  - Taaktype van de taak waar dit gebeurt: is dit een standaard “Document ondertekenen”-taak, of een gewone “Taak” met een bijlage?
- Kun je in de taakinstellingen controleren of er iets staat als:
  - “Bijlage mag aangepast worden door medewerker” of vergelijkbare optie?
  - Staat deze echt uit bij precies deze taak?

2) Pagina-/componentinstellingen in OutSite
De knop “Aanpassen” komt vaak uit:
- Een specifieke webpagina in OutSite (bijv. een detailpagina van een workflowtaak),
- Of een standaardtool/component (bijv. “Workflowtaak – details” of “Dossier-item – details”).

Zou je kunnen doorgeven:
- De exacte paginanaam in OutSite waar je de knop ziet (zoals in Beheer > OutSite > Pagina’s).
- Welk element op de pagina gebruikt wordt:
  - Bijvoorbeeld: “Workflowtaakdetails”, “Dossieritemdetails”, of een door AFAS geleverde Onboarding-templatepagina.
- Is deze pagina:
  - Een standaard AFAS-pagina (ongewijzigd),
  - Of door jullie gekopieerd en zelf aangepast?

3) OutSite knoppenconfiguratie
Op sommige detailpagina’s kun je per component instellen welke knoppen zichtbaar zijn (bijv. Bewerken/Aanpassen, Verwijderen, Nieuw, etc.). Kun je even controleren:
- Open in Beheer de betreffende OutSite-pagina.
- Klik het component aan dat de arbeidsovereenkomst toont (taak- of documentdetails).
- Kijk of er een sectie is zoals:
  - “Acties/knoppen tonen” of “Bewerken toestaan”.
- Staat daar ergens een instelling die “Bewerken” of “Aanpassen” aanzet?

4) Gedrag bij andere taken/gebruikers
- Treedt dit bij alle taken van dit type op, of alleen bij de arbeidsovereenkomst-taak?
- Zie je dezelfde knop “Aanpassen” als je:
  - Met een HR-rol inlogt,
  - En dezelfde pagina/taak bekijkt? (Zo ja, dan is het waarschijnlijk een algemene knop van het component/pagina.)

Hoe we verder kunnen:
Als je het volgende kunt aanleveren, kan ik gerichter aangeven waar je dit uitzet:

- Exacte namen:
  - Naam workflow,
  - Naam taak in de workflow,
  - Naam OutSite-pagina,
  - Naam van het gebruikte component op die pagina.
- Eventueel (geanonimiseerde) screenshot van:
  - De OutSite-pagina in beheer (met het geselecteerde component),
  - De instellingen van die taak in de workflow.

Op basis daarvan kan ik concreet aangeven:
- Of dit via het taaktype uit te zetten is,
- Of je een setting in het OutSite-component moet aanpassen,
- Of dat je een alternatieve detailpagina zonder “Aanpassen”-knop moet gebruiken voor sollicitanten."
334,"Hoi Tamara,

Goed dat je dit tijdens het testen al tegenkomt. De foutmelding is in de kern heel concreet:

“In samenstelling ‘N1-112-AA-T-AS’ moet nog serie- en/of partij- en/of orderregelspecificatie-informatie opgegeven worden. Het gaat om samenstellingsregels met de onderstaande itemcodes: N1-OR-001-110-E, N1-OR-001-100-EPC, N1-OR-001-090-N, ...”

Kort samengevat:  
In de samenstelling (BOM) van het artikel N1-112-AA-T-AS zitten onderdelen waarvoor AFAS vereist dat je:

- óf een serienummer  
- óf een partijnummer  
- óf een orderregelspecificatie  

opgeeft, maar dat is nog niet gedaan. Daarom kun je de productieorder niet omzetten naar een productiebon.

Zo los je dit op (voor je testorder 00002):

1) Open de productieorder en de samenstelling
- Ga naar: Ordermanagement > Alle productieorders.  
- Open productieorder 00002.  
- Ga naar het tabblad/scherm “Samenstelling” (of vergelijkbaar, waar de stuklijstregels zichtbaar zijn).

2) Zoek de regels met de genoemde itemcodes
- Zoek in de samenstellingsregels naar:
  - N1-OR-001-110-E  
  - N1-OR-001-100-EPC  
  - N1-OR-001-090-N  
  - (en eventuele overige regels waarvoor hetzelfde geldt).

3) Vul de serie-/partij-/orderspecificatie in per regel
Afhankelijk van hoe de artikelen zijn ingericht:

- Als het serieartikelen zijn:
  - Vul een of meerdere serienummers in bij de betreffende regels.
- Als het partijartikelen zijn:
  - Selecteer een partij (batch) of maak zo nodig een nieuwe partij aan en koppel die.
- Als er met orderregelspecificatie wordt gewerkt:
  - Vul de juiste orderregelspecificatie in (bijvoorbeeld koppel ze expliciet aan de verkooporderregel of een specifieke specificatiecode).

Meestal zie je hiervoor extra kolommen/velden in de samenstellingsregels, zoals:
- “Serie/partij”
- “Orderregelspecificatie”
- of vergelijkbare benamingen afhankelijk van jullie inrichting.

4) Opslaan en opnieuw productiebon aanmaken
- Sla de productieorder op nadat je alle benodigde info hebt ingevuld.  
- Ga daarna weer naar: Ordermanagement > Alle productieorders > selecteer 00002 > Actie “Aanmaken productiebon”.  
- Bij het (tweede) opslaan zou de foutmelding nu weg moeten zijn.

Belangrijk voor de toekomst / inrichting:
Als je dit niet telkens handmatig wilt doen:
- Controleer bij deze artikelen (N1-OR-001-110-E, N1-OR-001-100-EPC, N1-OR-001-090-N, etc.) in de itemkaart:
  - of ‘serie’ of ‘partij’ verplicht is ingesteld, en  
  - of dat ook echt de bedoeling is.
- Als het niet nodig is om serie/partij bij productie te registreren, kan je beheerder deze verplichting eventueel aanpassen in de artikelinstellingen.  
- Als het wél nodig is (traceerbaarheid), spreek dan af op welk moment in het proces jullie serie-/partijnummers toekennen (bij productieorder, bij ontvangst, etc.) en richt dit proces consequent zo in.

Als je wilt, kun je:
- Een schermafbeelding sturen van de samenstelling van productieorder 00002, dan kan ik gerichter aangeven in welk veld je precies wat moet invullen."
335,"Hoi Jos,

Dank voor je toelichting.

Omdat de exacte foutmelding cruciaal is, heb ik nog een paar gerichte vragen/acties nodig om dit snel op te lossen:

1) Exacte foutmelding
- Kun je hier de volledige tekst van de foutmelding overtypen?
- Of, als dat makkelijker is: beschrijf kort wat er in de melding staat (bijv. iets over “rechten”, “licentie/abonnement”, “niet toegestaan in deze omgeving”, “muteren niet mogelijk”, etc.).

2) Controle: geldt het voor alle journaalposten?
- Treedt de fout op bij:
  - alle journaalposten, of
  - alleen bepaalde (bijv. voor/na conversiedatum, bepaalde dagboeken/periodes)?
- Kun je testen:
  - 1 willekeurige journaalpost van vóór de conversie
  - 1 van ná de conversie
  en aangeven of de fout bij beide optreedt?

3) Rechten en omgeving
- Werk je in:
  - de definitieve administratie, of
  - nog in een test-/conversie-omgeving?
- Kun je (of jullie applicatiebeheerder) in Profit controleren:
  - Of jouw gebruikersprofiel/rol rechten heeft om journaalposten te wijzigen in deze ERP-omgeving?
  - Of er beperkingen zijn ingesteld na de conversie (bijvoorbeeld “muteren historische perioden niet toegestaan”)?

4) Abonnement / licentie
Omdat het onderwerp “[Intern | Verkeerde Abbo]” noemt:
- Is er recent iets gewijzigd aan jullie Profit-licentie of modules (overstap van SB naar Profit ERP-variant)?
- Zie je in Profit nog andere meldingen over licentie, modules of abonnement als je naar:
  - Financieel gaat
  - Of andere functies probeert te openen?

5) Snelle tussenstap: alternatief wijzigen
Totdat we de fout opgelost hebben, kun je vaak nog wel:
- Een correctieboeking maken (tegenboeking van de foute journaalpost + nieuwe juiste boeking),
in plaats van “Wijzig journaalpost” te gebruiken. Dat is niet ideaal, maar wel een praktische tijdelijke workaround.

Als je mij:
- de exacte tekst van de foutmelding,
- plus het antwoord op punt 2 (alle posten of specifieke) stuurt,

kan ik je veel gerichter stap-voor-stap aangeven:
- of dit door rechten, licentie/abonnement, of door conversie-instellingen komt,
- en welke concrete schermen/instellingen jullie beheerder moet aanpassen om “Wijzig journaalpost” weer werkend te krijgen."
